InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,__RawRowID,IsCancellation,IsNegativeQuantity,IsZeroQuantity,IsInvalidQuantity,IsNegativeUnitPrice,IsZeroUnitPrice,IsInvalidUnitPrice,IsInvalidInvoiceDate,IsMissingCustomerID,IsMissingDescription,IsCancellationReturnOrInvalid
C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527,United Kingdom,141,True,True,False,True,False,False,False,False,False,False,True
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311,United Kingdom,154,True,True,False,True,False,False,False,False,False,False,True
C536391,22556,PLASTERS IN TIN CIRCUS PARADE,-12,2010-12-01 10:24:00,1.65,17548,United Kingdom,235,True,True,False,True,False,False,False,False,False,False,True
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,236,True,True,False,True,False,False,False,False,False,False,True
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,237,True,True,False,True,False,False,False,False,False,False,True
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,-24,2010-12-01 10:24:00,0.29,17548,United Kingdom,238,True,True,False,True,False,False,False,False,False,False,True
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-12-01 10:24:00,3.45,17548,United Kingdom,239,True,True,False,True,False,False,False,False,False,False,True
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,-12,2010-12-01 10:24:00,1.65,17548,United Kingdom,240,True,True,False,True,False,False,False,False,False,False,True
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548,United Kingdom,241,True,True,False,True,False,False,False,False,False,False,True
536414,22139,,56,2010-12-01 11:52:00,0.0,,United Kingdom,622,False,False,False,False,False,True,True,False,True,True,True
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897,United Kingdom,939,True,True,False,True,False,False,False,False,False,False,True
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841,United Kingdom,1441,True,True,False,True,False,False,False,False,False,False,True
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01 14:30:00,0.85,17841,United Kingdom,1442,True,True,False,True,False,False,False,False,False,False,True
536545,21134,,1,2010-12-01 14:32:00,0.0,,United Kingdom,1970,False,False,False,False,False,True,True,False,True,True,True
536546,22145,,1,2010-12-01 14:33:00,0.0,,United Kingdom,1971,False,False,False,False,False,True,True,False,True,True,True
536547,37509,,1,2010-12-01 14:33:00,0.0,,United Kingdom,1972,False,False,False,False,False,True,True,False,True,True,True
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01 14:33:00,1.95,12472,Germany,1973,True,True,False,True,False,False,False,False,False,False,True
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01 14:33:00,1.65,12472,Germany,1974,True,True,False,True,False,False,False,False,False,False,True
