Candidate,K,Inertia,DiscreteCurvature,ElbowCandidate
LOG_STANDARD,2,6476.5069370535475,,False
LOG_STANDARD,3,4858.078487594689,685.6244345370287,True
LOG_STANDARD,4,3925.2744726728597,276.6043012862756,False
LOG_STANDARD,5,3269.0747590373057,227.77892385621772,False
LOG_STANDARD,6,2840.6539692579695,120.7514997668818,False
LOG_STANDARD,7,2532.984679245515,99.75998472223728,False
LOG_STANDARD,8,2325.075373955298,28.67309120249638,False
LOG_STANDARD,9,2145.839159867577,22.801905591622244,False
LOG_STANDARD,10,1989.4048513714786,,False
ROBUST_RAW,2,81261.43968470655,,False
ROBUST_RAW,3,44183.54625967463,25228.716682887803,True
ROBUST_RAW,4,32334.36951753051,2249.2556473685036,False
ROBUST_RAW,5,22734.448422754896,5434.744967371244,False
ROBUST_RAW,6,18569.272295350525,1525.5033852444703,False
ROBUST_RAW,7,15929.599553190625,463.59690705244975,False
ROBUST_RAW,8,13753.523718083174,189.0050659237022,False
ROBUST_RAW,9,11766.452948899425,-178.69927452134652,False
ROBUST_RAW,10,9600.68290519433,,False
STANDARD_RAW,2,9014.520269915854,,False
STANDARD_RAW,3,5441.672963636583,2227.748666915384,True
STANDARD_RAW,4,4096.574324272695,368.5624146356422,False
STANDARD_RAW,5,3120.0380995444493,330.51907368722686,False
STANDARD_RAW,6,2474.0209485034306,195.66482739065782,False
STANDARD_RAW,7,2023.6686248530698,142.63363663116297,False
STANDARD_RAW,8,1715.949937833872,38.03112596229471,False
STANDARD_RAW,9,1446.2623767769687,104.65654209435047,False
STANDARD_RAW,10,1281.231357814416,,False
