Candidate,K,ClusterID,Customers,Ratio,MedianRecency,MedianFrequency,MedianMonetary,MaxFrequency,MaxMonetary,TinyWarning,Review
STANDARD_RAW,5,0,3050,0.7030889810972798,33.0,3.0,818.575,14,13375.87,False,PASS
STANDARD_RAW,5,1,1061,0.2445827570308898,244.0,1.0,309.8,12,9864.26,False,PASS
STANDARD_RAW,5,2,8,0.0018441678192715537,2.0,95.0,49640.96,209,143711.17,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,5,3,213,0.04910096818810512,6.0,18.0,7834.650000000001,62,91062.38,False,PASS
STANDARD_RAW,5,4,6,0.0013831258644536654,5.5,50.5,181431.64500000002,73,280206.02,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,10,0,126,0.029045643153526972,5.0,21.0,8143.825,55,33643.08,False,PASS
STANDARD_RAW,10,1,2165,0.4990779160903642,34.0,2.0,646.42,7,11072.67,False,PASS
STANDARD_RAW,10,2,746,0.17196864914707238,161.0,2.0,427.61,12,39916.5,False,PASS
STANDARD_RAW,10,3,2,0.0004610419548178884,1.5,205.0,88382.18000000001,209,143711.17,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,10,4,2,0.0004610419548178884,1.5,66.5,269931.66000000003,73,280206.02,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,10,5,6,0.0013831258644536654,2.0,92.0,34318.44,124,60632.75,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,10,6,667,0.1537574919317658,16.0,8.0,2796.51,17,21429.39,False,PASS
STANDARD_RAW,10,7,603,0.13900414937759337,289.0,1.0,283.73,8,7832.47,False,PASS
STANDARD_RAW,10,8,17,0.003918856615952052,5.0,34.0,54534.14,63,91062.38,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
STANDARD_RAW,10,9,4,0.0009220839096357768,9.5,33.5,146693.515,55,194390.79,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
LOG_STANDARD,2,0,1668,0.38450899031811897,17.0,6.0,2058.17,209,280206.02,False,PASS
LOG_STANDARD,2,1,2670,0.6154910096818811,96.0,1.0,362.01,7,4959.1,False,PASS
LOG_STANDARD,4,0,1177,0.2713231904103273,54.0,4.0,1337.72,14,77183.6,False,PASS
LOG_STANDARD,4,1,889,0.2049331489165514,20.0,2.0,418.4,7,3861.0,False,PASS
LOG_STANDARD,4,2,731,0.16851083448593823,9.0,10.0,3653.75,209,280206.02,False,PASS
LOG_STANDARD,4,3,1541,0.35523282618718305,186.0,1.0,300.95,6,2661.24,False,PASS
ROBUST_RAW,2,0,4330,0.9981558321807285,51.0,2.0,665.94,209,80850.84,False,PASS
ROBUST_RAW,2,1,8,0.0018441678192715537,2.5,50.5,156091.83500000002,201,280206.02,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
ROBUST_RAW,3,0,4305,0.9923928077455049,52.0,2.0,659.46,93,28754.11,False,PASS
ROBUST_RAW,3,1,5,0.001152604887044721,2.0,60.0,194390.79,201,280206.02,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
ROBUST_RAW,3,2,28,0.006454587367450438,5.0,39.0,51009.555,209,124914.53,True,WARNING_REVIEW_EXTREMES_NO_AUTOMATIC_REMOVAL
