CustomerID,LastPurchaseDate,Recency,Frequency,Monetary
12346,2011-01-18 10:01:00,326,1,77183.6
12347,2011-12-07 15:52:00,3,7,4310.0
12348,2011-09-25 13:13:00,76,4,1797.24
12349,2011-11-21 09:51:00,19,1,1757.55
12350,2011-02-02 16:01:00,311,1,334.40000000000003
12352,2011-11-03 14:37:00,37,8,2506.04
12353,2011-05-19 17:47:00,205,1,89.0
12354,2011-04-21 13:11:00,233,1,1079.4
12355,2011-05-09 13:49:00,215,1,459.40000000000003
12356,2011-11-17 08:40:00,23,3,2811.43
12357,2011-11-06 16:07:00,34,1,6207.67
12358,2011-12-08 10:26:00,2,2,1168.06
12359,2011-10-13 12:47:00,58,4,6310.03
12360,2011-10-18 15:22:00,53,3,2662.06
12361,2011-02-25 13:51:00,288,1,189.9
12362,2011-12-06 15:40:00,4,10,5226.2300000000005
12363,2011-08-22 10:18:00,110,2,552.0
12364,2011-12-02 10:22:00,8,4,1313.1
12365,2011-02-21 14:04:00,292,2,641.38
12367,2011-12-05 16:48:00,5,1,168.9
12370,2011-10-19 14:51:00,52,4,3541.94
12371,2011-10-26 10:16:00,45,2,1887.96
12372,2011-09-29 12:12:00,72,3,1298.04
12373,2011-02-01 13:10:00,312,1,364.6
12374,2011-11-14 15:37:00,26,1,742.9300000000001
12375,2011-11-29 10:36:00,11,2,457.5
12377,2011-01-28 15:45:00,316,2,1628.1200000000001
12378,2011-08-02 10:34:00,130,1,4008.62
12379,2011-09-19 10:09:00,82,2,852.24
12380,2011-11-18 11:27:00,22,4,2724.81
12381,2011-12-05 12:44:00,5,5,1845.31
12383,2011-06-08 08:02:00,185,5,1850.56
12384,2011-11-11 08:39:00,29,2,585.27
12386,2011-01-06 12:37:00,338,2,401.9
12388,2011-11-24 12:30:00,16,6,2780.6600000000003
12390,2011-09-21 09:33:00,80,1,549.84
12391,2011-11-18 12:07:00,22,1,439.66
12393,2011-09-28 15:41:00,73,4,1582.6000000000001
12394,2011-10-07 08:08:00,64,2,1272.48
12395,2011-11-20 15:21:00,20,12,3018.63
12397,2011-11-04 09:52:00,36,2,2409.9
12398,2011-10-25 10:27:00,46,1,1635.6599999999999
12399,2011-08-12 13:15:00,120,4,1108.65
12401,2011-02-09 13:50:00,304,1,84.3
12402,2011-01-20 13:49:00,324,1,225.60000000000002
12403,2011-10-21 10:51:00,50,1,427.7
12405,2011-07-14 08:52:00,149,1,1710.39
12406,2011-11-17 19:22:00,23,2,3415.3
12407,2011-10-21 10:11:00,50,5,1708.12
12408,2011-11-07 12:27:00,33,5,2888.55
12409,2011-09-22 10:38:00,79,3,11072.67
12410,2011-02-04 10:39:00,309,2,693.33
12412,2011-09-26 10:16:00,75,3,1226.88
12413,2011-10-04 09:00:00,67,3,758.1
12414,2011-05-06 14:51:00,218,3,562.4100000000001
12415,2011-11-15 14:22:00,25,21,124914.53
12417,2011-12-06 14:52:00,4,9,3649.1
12418,2011-08-19 11:08:00,113,1,668.58
12420,2011-10-07 08:55:00,64,1,600.39
12421,2011-11-24 09:07:00,16,4,807.04
12422,2011-09-05 09:48:00,96,3,803.5600000000001
12423,2011-12-09 10:10:00,1,8,1859.31
12424,2011-06-30 12:06:00,163,2,1760.96
12425,2011-09-22 17:31:00,79,1,777.2
12426,2011-05-29 12:26:00,195,1,582.73
12427,2011-11-18 08:56:00,22,3,825.8000000000001
12428,2011-11-14 08:22:00,26,9,7956.46
12429,2011-11-30 17:22:00,10,4,3750.4
12430,2011-10-27 15:09:00,44,1,256.4
12431,2011-11-04 11:55:00,36,15,6419.95
12432,2011-10-28 11:43:00,43,5,5059.32
12433,2011-12-09 10:02:00,1,7,13375.87
12434,2011-09-16 12:38:00,85,2,806.14
12435,2011-09-21 09:06:00,80,2,7829.89
12436,2011-09-01 12:09:00,100,1,509.01
12437,2011-12-08 11:35:00,2,18,4951.41
12438,2011-11-25 13:28:00,15,2,2906.85
12441,2010-12-08 10:45:00,367,1,173.55
12442,2011-12-06 14:22:00,4,1,172.06
12444,2011-11-18 13:23:00,22,5,5005.46
12445,2011-11-17 18:43:00,23,1,133.4
12446,2011-10-13 12:50:00,58,1,1002.3100000000001
12447,2011-04-10 13:25:00,244,1,476.49
12448,2011-10-26 13:46:00,45,1,449.45
12449,2011-11-17 13:46:00,23,4,4067.29
12450,2011-07-06 14:41:00,157,2,197.88
12451,2011-11-29 08:40:00,11,5,9035.52
12452,2011-11-23 10:28:00,17,2,430.57000000000005
12453,2011-07-28 14:08:00,135,1,707.09
12454,2011-10-14 17:13:00,57,1,3528.34
12455,2011-09-27 15:31:00,74,6,2466.86
12456,2011-10-26 14:41:00,45,3,3181.04
12457,2011-10-04 13:13:00,67,7,2363.23
12458,2011-09-29 15:25:00,72,2,947.4
12461,2011-09-06 16:57:00,95,2,826.88
12462,2011-11-21 09:11:00,19,2,1189.59
12463,2011-10-17 13:44:00,54,4,1344.78
12464,2011-11-29 13:33:00,11,8,1212.05
12465,2011-11-22 16:34:00,18,2,742.19
12468,2011-06-05 11:36:00,188,2,729.54
12471,2011-12-07 15:43:00,3,30,19788.65
